SNRs,Gid,addrs,bssid,time
"[34, 34, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.665839
"[37, 37, 36]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.693001
"[33, 38, 42]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.703496
"[35, 41, 40]",41,"['48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.716848
"[34, 34, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.727149
"[41, 40, 36]",34,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', '48:e2:44:b1:2d:3b']",19:64:72:7e:a8:70,2016-07-14T11:45:57.737593
"[37, 36, 40]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.747303
"[34, 38, 41]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.757605
"[36, 44, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.767984
"[37, 37, 38]",37,"['48:e2:44:92:3a:25', '48:e2:44:b1:2d:3b', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:57.785243
"[37, 35, 42]",38,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.795445
"[41, 44, 44]",39,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.808334
"[34, 34, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.813606
"[37, 37, 36]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.844462
"[34, 38, 41]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.854298
"[34, 41, 40]",41,"['48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.864803
"[34, 35, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.875279
"[41, 43, 36]",34,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', '48:e2:44:b1:2d:3b']",19:64:72:7e:a8:70,2016-07-14T11:45:57.887888
"[37, 36, 39]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.897704
"[34, 38, 42]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.908754
"[36, 44, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.918184
"[38, 37, 38]",37,"['48:e2:44:92:3a:25', '48:e2:44:b1:2d:3b', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:57.937978
"[36, 35, 42]",38,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.948021
"[41, 44, 44]",39,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.958396
